Combination,Distance_Km,Distance_meters,Duration_min,Duration_seconds,Duration_min_traf,Duration_seconds_traf
38.0,219.0,219395.0,217.0,8232.0,220.0,8400.0
236.0,38.0,3780.0,5.0,313.0,5.0,315.0
397.0,103.0,103394.0,117.0,4620.0,122.0,4890.0
73.0,79.0,7912.0,9.0,551.0,9.0,547.0
256.0,125.0,124641.0,121.0,4864.0,138.0,5886.0
394.0,202.0,20170.0,24.0,1411.0,24.0,1453.0
204.0,257.0,25698.0,27.0,1610.0,29.0,1715.0
134.0,136.0,13566.0,18.0,1065.0,18.0,1062.0
336.0,36.0,3592.0,5.0,306.0,5.0,315.0
145.0,277.0,277321.0,35.0,11078.0,35.0,11105.0
130.0,78.0,7837.0,11.0,640.0,11.0,636.0
72.0,68.0,6845.0,11.0,656.0,11.0,665.0
238.0,580.0,57960.0,45.0,2711.0,49.0,2917.0
391.0,178.0,177990.0,21.0,7231.0,21.0,7283.0
282.0,212.0,212210.0,236.0,9358.0,236.0,9348.0
179.0,311.0,31132.0,38.0,2299.0,39.0,2336.0
277.0,1.0,0.0,1.0,0.0,1.0,0.0
255.0,798.0,79819.0,54.0,3244.0,57.0,3426.0
358.0,102.0,101776.0,116.0,4564.0,119.0,4746.0
403.0,128.0,127924.0,137.0,5798.0,139.0,5913.0
396.0,103.0,103194.0,117.0,4615.0,120.0,4796.0
253.0,120.0,120317.0,118.0,4689.0,119.0,4734.0
157.0,703.0,70302.0,49.0,2931.0,53.0,3160.0
414.0,159.0,159050.0,151.0,6674.0,153.0,6754.0
399.0,636.0,63621.0,54.0,3239.0,56.0,3374.0
51.0,66.0,6569.0,8.0,494.0,8.0,494.0
69.0,226.0,225988.0,224.0,8640.0,226.0,8786.0
216.0,643.0,64294.0,51.0,3063.0,53.0,3195.0
242.0,312.0,311700.0,331.0,12681.0,334.0,12863.0
353.0,56.0,5551.0,12.0,727.0,13.0,805.0
87.0,138.0,138013.0,136.0,5732.0,145.0,6320.0
142.0,362.0,36196.0,38.0,2261.0,41.0,2433.0
394.0,202.0,20170.0,24.0,1411.0,24.0,1457.0
8.0,206.0,206182.0,217.0,8225.0,220.0,8391.0
320.0,94.0,9375.0,15.0,898.0,17.0,1026.0
318.0,665.0,66531.0,55.0,3288.0,56.0,3386.0
23.0,219.0,21899.0,19.0,1110.0,19.0,1111.0
314.0,490.0,49032.0,36.0,2183.0,36.0,2153.0
2.0,581.0,58099.0,43.0,2581.0,47.0,2808.0
385.0,101.0,100778.0,115.0,4497.0,118.0,4674.0
317.0,686.0,68632.0,56.0,3364.0,57.0,3400.0
210.0,215.0,214860.0,218.0,8261.0,221.0,8439.0
265.0,108.0,10754.0,15.0,891.0,16.0,963.0
217.0,202.0,201725.0,213.0,7996.0,218.0,8268.0
